t,ball_x,ball_y,holder_id,holder_team,reward,team0_r,team1_r
88018,492.6476135253906,226.44142150878906,51565,1,0.0,0.0,0.01
88019,495.0713653564453,228.74803161621094,51565,1,0.0,0.0,0.01
88020,496.8262481689453,229.30349731445312,51565,1,0.0,0.0,0.01
88021,497.3856506347656,229.39960479736328,51565,1,0.0,0.0,0.01
88022,498.36473083496094,229.59828186035156,51565,1,0.0,0.0,0.01
88023,499.8241729736328,230.10747528076172,51565,1,0.0,0.0,0.01
88024,500.3453674316406,230.26126861572266,51565,1,0.0,0.0,0.01
88025,501.39569091796875,230.9159698486328,51565,1,0.0,0.0,0.01
88026,501.7324981689453,231.12506103515625,51565,1,0.0,0.0,0.01
88027,502.62469482421875,231.18731689453125,51565,1,0.0,0.0,0.01
88028,503.5806427001953,231.34381866455078,51565,1,0.0,0.0,0.01
88029,503.8953552246094,231.38143157958984,51565,1,0.0,0.0,0.01
88030,505.5570831298828,231.99224853515625,51565,1,0.0,0.0,0.01
88031,506.28851318359375,232.2367401123047,51565,1,0.0,0.0,0.01
88032,506.5171813964844,232.30563354492188,51565,1,0.0,0.0,0.01
88033,507.6227264404297,232.65309143066406,51565,1,0.0,0.0,0.01
88034,508.5267791748047,232.96632385253906,51565,1,0.0,0.0,0.01
88035,508.83265686035156,233.06757354736328,51565,1,0.0,0.0,0.01
88036,509.6490478515625,233.32361602783203,51565,1,0.0,0.0,0.01
88037,509.8862609863281,233.40662384033203,51565,1,0.0,0.0,0.01
88038,510.3910827636719,233.61888122558594,51565,1,0.0,0.0,0.01
88039,511.3289489746094,233.81886291503906,51565,1,0.0,0.0,0.01
88040,511.6504821777344,233.88080596923828,51565,1,0.0,0.0,0.01
88041,512.2430419921875,234.00033569335938,51565,1,0.0,0.0,0.01
88042,512.4691314697266,234.02182006835938,51565,1,0.0,0.0,0.01
88043,513.1287841796875,234.21839904785156,51565,1,0.0,0.0,0.01
88044,513.8209686279297,234.3971710205078,51565,1,0.0,0.0,0.01
88045,514.0762786865234,234.46643829345703,51565,1,0.0,0.0,0.01
88046,514.3626403808594,234.52452087402344,51565,1,0.0,0.0,0.01
88047,514.9999694824219,234.8884735107422,51565,1,0.0,0.0,0.01
88048,515.2234191894531,235.0241928100586,51565,1,0.0,0.0,0.01
88049,515.7007598876953,235.16394805908203,51565,1,0.0,0.0,0.01
88050,515.8572235107422,235.21393585205078,51565,1,0.0,0.0,0.01
88051,516.0587005615234,235.40440368652344,51565,1,0.0,0.0,0.01
88052,516.5340576171875,235.46074676513672,51565,1,0.0,0.0,0.01
88053,516.6942138671875,235.47339630126953,51565,1,0.0,0.0,0.01
88054,517.039794921875,235.71295928955078,51565,1,0.0,0.0,0.01
88055,517.1517333984375,235.79663848876953,51565,1,0.0,0.0,0.01
88056,517.6592102050781,235.99604034423828,51565,1,0.0,0.0,0.01
